Region,Sitio,Latitud,Longitud
La Paz,Zacatecas,24.171533,-110.434149
La Paz,Conchalito,24.140341,-110.347131
La Paz,Libramiento,24.231451,-110.307019
La Paz,Playa falsa,24.248725,-110.313367
La Paz,Cuba Grande,24.258932,-110.31061
La Paz,Balandra Oeste,24.324304,-110.321504
La Paz,Balandra Este,24.322896,-110.323386
La Paz,Comitan norte,24.131403,-110.419099
La Paz,Comitan sur ,24.125652,-110.421004
San Ignacio,San Ignacio 1 ,24.791903,-112.115729
San Ignacio,San Ignacio 2,24.794106,-112.116075
San Ignacio,San Ignacio 3,24.800062,-112.115013
San Ignacio,San Ignacio 4,24.803605,-112.115693
San Ignacio,San Ignacio 12,24.799463,-112.110981
San Ignacio,San Ignacio 17,24.803881,-112.103461
San Ignacio,San Ignacio 18,24.800835,-112.10114
San Ignacio,San Ignacio 19,24.801705,-112.096761
San Ignacio,San Ignacio 23,24.800498,-112.093372
San Ignacio,San Ignacio 25,24.798828,-112.095709
San Ignacio,San Ignacio 27,24.796617,24.796617
San Ignacio,San Ignacio 28,24.783942,-112.076371
San Ignacio,San Ignacio 29,24.780462,-112.094411
San Ignacio,San Ignacio 30,24.784705,-112.085126
San Ignacio,San Ignacio 31,24.801234,-112.080885
San Basilio ,Estero norte ,26.392378,-111.456594
San Basilio ,Bahía almejas ,26.379554,-111.431223
San Basilio ,Playa casa oeste  ,26.370605,-111.427696
San Basilio ,Playa casa ,26.370795,-111.429034
San Basilio ,Playa casa este,26.370133,-111.433981
San Basilio ,estero centro,26.365392,-111.435873
San Basilio ,Playa esteo centro,26.362439,-111.434205
San Basilio ,Playa dagoberto,26.359591,-111.430661
San Basilio ,Playa estero sur,26.352702,-111.426529
San Basilio ,Estero sur ,26.350474,-111.426721
San Basilio ,Rancho Santa Ana,26.349196,-111.422964
San Basilio ,Rancho Santa Ana charca ,26.346823,-111.417382
San Basilio ,Duna norte mensenares,26.346241,-111.412106
San Basilio ,Mensenares ,26.344179,-111.405659
